"","commarea_n","cartodb_id","gisjoin","statefp","countyfp","tractce","geoid","name","namelsad","mtfcc","funcstat","aland","awater","intptlat","intptlon","shape_leng","shape_area","acs_population","svi_pecentile","trees_n","trees_area","trees_den","trees_crown_den","zip_code","asthma_5yr_avg","asthma_age_adj_rate","urban_flood_suscep","heatisl","nn_q3_pm2_5","logtraf","city_property_tot","hardship","pct_white","pct_black","pct_nativeam","pct_asian","pct_other","prop_comm","prop_plndev","prop_resdntl","community","Name","GEOID","CLRRt","AdAsthRt","PhysRate","LngCncRt","CancerRt","HypRt","logtrafScld"
"15","10",152,"G1700310100600","17","031","100600","17031100600","1006","Census Tract 1006","G5020","S",1282465,0,"+41.9792049","-087.7974007",4787.108886,1282466.79898,4789,24.3,3552,266952,0.00277,20.8,"60630",92,78.6,9,83.2,10.2,6.4,1,13.5,"82.6","1.3","0.0","7.8","0.0",0,0,1,"NORWOOD PARK","Norwood Park",10,23.3,7.1,15.8,69.97698771,545.4773217,30.7,94.1176470588235
"16","10",153,"G1700310100700","17","031","100700","17031100700","1007","Census Tract 1007","G5020","S",1215251,0,"+41.9721235","-087.7976295",4771.875256,1215251.53334,4700,21.3,3440,264815,0.002831,21.8,"60630",92,78.6,9,89.7,10.3,5.5,0,12,"87.9","0.2","0.2","6.1","0.0",0,0,0,"NORWOOD PARK","Norwood Park",10,23.3,7.1,15.8,69.97698771,545.4773217,30.7,80.8823529411765
"17","10",147,"G1700310100100","17","031","100100","17031100100","1001","Census Tract 1001","G5020","S",1182384,0,"+41.9895840","-087.7830136",4640.333754,1182388.16446,5563,39.8,3711,274435,0.003139,23.2,"60646",24.75,41,8.8,73.3,10.3,5.7,0,18.4,"95.3","0.0","0.0","3.0","0.0",0,0,0,"NORWOOD PARK","Norwood Park",10,23.3,7.1,15.8,69.97698771,545.4773217,30.7,83.8235294117647
"18","10",687,"G1700310810400","17","031","810400","17031810400","8104","Census Tract 8104","G5020","S",2319247,0,"+41.9875737","-087.8294387",7959.924028,2319252.0057,5355,13.1,780,35689,0.000336,1.5,"60631",24,40.8,9.2,45.2,10.3,6.2,0,8,"94.3","0.9","0.0","2.5","0.0",0,0,0,"NORWOOD PARK","Norwood Park",10,23.3,7.1,15.8,69.97698771,545.4773217,30.7,91.1764705882353
"19","10",150,"G1700310100400","17","031","100400","17031100400","1004","Census Tract 1004","G5020","S",971799,0,"+41.9889687","-087.8180411",4566.193877,971797.72862,3364,31,3279,236178,0.003374,24.3,"60631",24,40.8,9,61.1,10.1,5,0,12.1,"89.5","0.1","0.4","2.0","0.0",0,0,0,"NORWOOD PARK","Norwood Park",10,23.3,7.1,15.8,69.97698771,545.4773217,30.7,73.5294117647059
"20","10",149,"G1700310100300","17","031","100300","17031100300","1003","Census Tract 1003","G5020","S",2286205,0,"+41.9887024","-087.8044027",7066.220103,2286200.57332,6186,33,9899,792254,0.00433,34.7,"60631",24,40.8,8.9,68.9,10.1,5.2,1,12.3,"87.4","0.9","0.2","4.8","0.0",0,0,1,"NORWOOD PARK","Norwood Park",10,23.3,7.1,15.8,69.97698771,545.4773217,30.7,76.4705882352941
"21","11",159,"G1700310110502","17","031","110502","17031110502","1105.02","Census Tract 1105.02","G5020","S",649329,0,"+41.9702865","-087.7598523",3786.977723,649329.652815,3612,41.8,1840,121344,0.002834,18.7,"60630",92,78.6,8.9,86.1,10.4,5.8,2,14.2,"66.1","3.7","1.2","6.5","0.0",1,0,1,"JEFFERSON PARK","Jefferson Park",11,16.7,NA,26,65.29737531,473.2502056,29.3,85.2941176470588
"22","11",156,"G1700310110300","17","031","110300","17031110300","1103","Census Tract 1103","G5020","S",1210673,0,"+41.9752907","-087.7832349",4602.925401,1210673.97451,5720,48.1,3205,225625,0.002647,18.6,"60630",92,78.6,9,86.2,10.5,6,0,17.3,"82.3","0.2","0.8","6.6","0.0",0,0,0,"JEFFERSON PARK","Jefferson Park",11,16.7,NA,26,65.29737531,473.2502056,29.3,88.2352941176471
"23","11",157,"G1700310110400","17","031","110400","17031110400","1104","Census Tract 1104","G5020","S",933971,0,"+41.9729536","-087.7726114",4593.590593,933973.626692,4467,43.1,2681,186445,0.002871,20,"60630",92,78.6,9,88.2,10.5,6.1,3,14.8,"71.4","0.5","0.2","9.1","0.0",2,0,1,"JEFFERSON PARK","Jefferson Park",11,16.7,NA,26,65.29737531,473.2502056,29.3,89.7058823529412
"24","11",155,"G1700310110200","17","031","110200","17031110200","1102","Census Tract 1102","G5020","S",596253,0,"+41.9800699","-087.7734442",3768.421251,596252.640592,3433,76.3,1195,85566,0.002004,14.4,"60630",92,78.6,8.8,83.9,10.6,5,0,13.6,"81.5","1.4","0.0","11.9","0.0",0,0,0,"JEFFERSON PARK","Jefferson Park",11,16.7,NA,26,65.29737531,473.2502056,29.3,73.5294117647059
"25","11",158,"G1700310110501","17","031","110501","17031110501","1105.01","Census Tract 1105.01","G5020","S",791607,0,"+41.9770023","-087.7619249",3753.812147,791607.626749,5390,31.6,2468,188134,0.003118,23.8,"60630",92,78.6,8.9,82.6,10.4,4.6,0,18,"72.4","0.8","0.0","16.0","0.3",0,0,0,"JEFFERSON PARK","Jefferson Park",11,16.7,NA,26,65.29737531,473.2502056,29.3,67.6470588235294
"26","11",154,"G1700310110100","17","031","110100","17031110100","1101","Census Tract 1101","G5020","S",1844324,0,"+41.9874756","-087.7696729",9047.513303,1844326.01857,5367,39,7846,603013,0.004254,32.7,"60630",92,78.6,8.7,68.5,10.1,5.4,0,16.4,"85.2","1.2","0.0","7.3","0.0",0,0,0,"JEFFERSON PARK","Jefferson Park",11,16.7,NA,26,65.29737531,473.2502056,29.3,79.4117647058824
"27","12",161,"G1700310120200","17","031","120200","17031120200","1202","Census Tract 1202","G5020","S",2394584,0,"+41.9945319","-087.7576108",8767.05897,2394580.00227,4725,22.3,13841,1114170,0.00578,46.5,"60646",24.75,41,8.5,49.8,9.6,6.4,5,9.8,"80.2","3.1","0.0","10.1","0.0",5,0,0,"FOREST GLEN","Forest Glen",12,17.9,25.9,24.6,50.82641554,477.4310806,24,94.1176470588235
"28","12",162,"G1700310120300","17","031","120300","17031120300","1203","Census Tract 1203","G5020","S",2055066,0,"+41.9911122","-087.7400660",6264.136054,2055074.0364,6516,25.1,9094,727703,0.004425,35.4,"60646",24.75,41,8.8,49.4,10.1,5.8,0,12,"82.1","0.9","0.0","12.6","0.0",0,0,0,"FOREST GLEN","Forest Glen",12,17.9,25.9,24.6,50.82641554,477.4310806,24,85.2941176470588
"29","12",163,"G1700310120400","17","031","120400","17031120400","1204","Census Tract 1204","G5020","S",1064699,0,"+41.9772355","-087.7521624",6372.406584,1064699.88617,3749,36.2,5526,424473,0.00519,39.9,"60630",92,78.6,8.8,73.8,10,5.7,0,16.9,"66.4","0.5","0.0","16.2","0.0",0,0,0,"FOREST GLEN","Forest Glen",12,17.9,25.9,24.6,50.82641554,477.4310806,24,83.8235294117647
"30","12",160,"G1700310120100","17","031","120100","17031120100","1201","Census Tract 1201","G5020","S",2789745,0,"+42.0019817","-087.7750065",11805.32452,2789742.18658,4102,7.3,21625,1772097,0.007752,63.5,"60646",24.75,41,8.3,52.9,9.5,6,1,6.5,"92.0","0.3","0.0","3.5","0.0",1,0,0,"FOREST GLEN","Forest Glen",12,17.9,25.9,24.6,50.82641554,477.4310806,24,88.2352941176471
"31","13",166,"G1700310130300","17","031","130300","17031130300","1303","Census Tract 1303","G5020","S",721103,0,"+41.9865589","-087.7133915",3414.602545,721099.77537,5482,83.5,3038,221594,0.004213,30.7,"60659",77.25,81.9,8.8,52,10.4,5,0,27.9,"58.6","4.0","1.1","27.1","0.0",0,0,0,"NORTH PARK","North Park",13,21,18.5,23,48.89901956,444.3225239,40.3,73.5294117647059
"32","13",164,"G1700310130100","17","031","130100","17031130100","1301","Census Tract 1301","G5020","S",1839639,0,"+41.9911040","-087.7208089",6183.884042,1839642.23748,5228,82.3,9406,686526,0.005113,37.3,"60646",24.75,41,8.5,56.3,10.2,6,1,22.1,"64.0","3.5","0.1","30.1","0.0",0,1,0,"NORTH PARK","North Park",13,21,18.5,23,48.89901956,444.3225239,40.3,88.2352941176471
"33","13",703,"G1700310831800","17","031","831800","17031831800","8318","Census Tract 8318","G5020","S",1903563,0,"+41.9782333","-087.7164527",5939.918125,1903564.179,6194,71.7,6793,525712,0.003569,27.6,"60625",140.75,83,8.4,45.9,10.7,5.2,4,19.2,"68.0","1.5","0.0","22.1","0.0",3,0,1,"NORTH PARK","North Park",13,21,18.5,23,48.89901956,444.3225239,40.3,76.4705882352941
"34","13",165,"G1700310130200","17","031","130200","17031130200","1302","Census Tract 1302","G5020","S",2075996,3028,"+41.9818378","-087.7375733",7963.865081,2079027.64563,1547,48.3,11478,842826,0.005529,40.6,"60630",92,78.6,8.1,53,10.3,5.9,0,11.4,"71.7","1.0","0.0","15.4","0.0",0,0,0,"NORTH PARK","North Park",13,21,18.5,23,48.89901956,444.3225239,40.3,86.7647058823529
"35","14",175,"G1700310140701","17","031","140701","17031140701","1407.01","Census Tract 1407.01","G5020","S",228328,0,"+41.9670375","-087.7126524",2349.101147,228327.947465,2920,70.7,449,32315,0.001966,14.2,"60625",140.75,83,8.4,58.1,10.6,4.6,0,28.6,"47.1","5.7","0.3","18.5","0.0",0,0,0,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,67.6470588235294
"36","14",169,"G1700310140301","17","031","140301","17031140301","1403.01","Census Tract 1403.01","G5020","S",164129,0,"+41.9692055","-087.7231695",2016.706104,164127.414402,2700,89,475,36211,0.002894,22.1,"60625",140.75,83,8.7,61.3,10.6,4.9,0,44.8,"46.2","2.9","1.1","23.0","0.0",0,0,0,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,72.0588235294118
"37","14",171,"G1700310140400","17","031","140400","17031140400","1404","Census Tract 1404","G5020","S",1181559,0,"+41.9715371","-087.7389429",4881.540109,1181558.89692,6011,38.5,3736,276867,0.003162,23.4,"60630",92,78.6,8.8,73.4,10.4,5.9,0,19.6,"67.6","0.4","0.0","12.5","0.0",0,0,0,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,86.7647058823529
"38","14",173,"G1700310140601","17","031","140601","17031140601","1406.01","Census Tract 1406.01","G5020","S",272123,0,"+41.9646471","-087.7258909",2436.088678,272125.258863,2927,80.4,880,68032,0.003234,25,"60618",172.25,82.6,8.8,67.5,10.6,4.6,8,23.1,"48.8","11.8","0.0","24.1","0.0",7,0,1,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,67.6470588235294
"39","14",174,"G1700310140602","17","031","140602","17031140602","1406.02","Census Tract 1406.02","G5020","S",384380,0,"+41.9646520","-087.7210166",2840.736104,384381.925335,4822,78.7,1323,95485,0.003442,24.8,"60618",172.25,82.6,8.7,67.2,10.6,4.2,1,25.5,"59.5","7.2","0.0","13.5","0.0",0,0,1,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,61.7647058823529
"40","14",170,"G1700310140302","17","031","140302","17031140302","1403.02","Census Tract 1403.02","G5020","S",421895,0,"+41.9725485","-087.7237891",2668.912313,421893.855888,4127,84.3,1657,129639,0.003928,30.7,"60625",140.75,83,8.7,56.7,10.6,4.8,0,27.9,"48.3","5.4","0.0","17.3","0.0",0,0,0,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,70.5882352941177
"41","14",167,"G1700310140100","17","031","140100","17031140100","1401","Census Tract 1401","G5020","S",282494,5489,"+41.9712014","-087.7058050",2309.042339,287982.374816,3527,79.5,1029,67675,0.003643,24,"60625",140.75,83,8.4,54.3,10.6,4.9,8,24.6,"56.5","13.8","2.1","11.9","0.0",0,6,2,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,72.0588235294118
"42","14",177,"G1700310140800","17","031","140800","17031140800","1408","Census Tract 1408","G5020","S",714363,11508,"+41.9645144","-087.7028469",3499.725993,725870.349966,6454,36.7,2838,210939,0.003973,29.5,"60618",172.25,82.6,8.7,59.9,10.6,5,0,22.3,"61.2","3.5","0.0","12.3","0.0",0,0,0,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,73.5294117647059
"43","14",172,"G1700310140500","17","031","140500","17031140500","1405","Census Tract 1405","G5020","S",452819,0,"+41.9653619","-087.7318319",2880.21754,452820.165047,4264,73.6,1417,95520,0.003129,21.1,"60630",92,78.6,8.8,71.8,10.5,5.2,26,21.9,"52.4","6.7","0.0","21.1","0.0",0,26,0,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,76.4705882352941
"44","14",168,"G1700310140200","17","031","140200","17031140200","1402","Census Tract 1402","G5020","S",394455,0,"+41.9706949","-087.7130043",2978.554661,394453.769763,6429,84.9,1229,79595,0.003116,20.2,"60625",140.75,83,8.6,57.2,10.6,5,0,40.5,"58.6","5.5","0.0","17.7","0.0",0,0,0,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,73.5294117647059
"45","14",176,"G1700310140702","17","031","140702","17031140702","1407.02","Census Tract 1407.02","G5020","S",427095,0,"+41.9635482","-087.7135753",2928.429151,427093.258461,6162,78.1,1463,103993,0.003425,24.3,"60618",172.25,82.6,8.8,64.3,10.6,4.2,4,26,"65.4","3.9","0.2","4.9","0.0",4,0,0,"ALBANY PARK","Albany Park",14,27.2,4,22.6,44.62242527,397.6728729,26.6,61.7647058823529
"46","15",185,"G1700310150700","17","031","150700","17031150700","1507","Census Tract 1507","G5020","S",662396,0,"+41.9495915","-087.7619580",3255.559669,662401.453364,4197,52.4,1917,133945,0.002894,20.2,"60634",132.5,82.1,9.4,92.8,10.6,5.4,0,26,"78.5","1.7","0.0","7.3","0.3",0,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,79.4117647058824
"47","15",189,"G1700310151100","17","031","151100","17031151100","1511","Census Tract 1511","G5020","S",660846,0,"+41.9422903","-087.7617175",3251.843619,660843.547596,5325,76.1,1649,112635,0.002495,17,"60634",132.5,82.1,9.5,95.4,10.7,4.9,0,17.5,"62.9","1.3","0.0","6.7","0.0",0,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,72.0588235294118
"48","15",181,"G1700310150402","17","031","150402","17031150402","1504.02","Census Tract 1504.02","G5020","S",662508,0,"+41.9567979","-087.7720436",3344.922985,662510.802071,3599,32.6,1812,126481,0.002735,19.1,"60634",132.5,82.1,9,91,10.7,5.4,0,12.5,"71.7","1.1","0.6","5.3","0.0",0,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,79.4117647058824
"49","15",180,"G1700310150401","17","031","150401","17031150401","1504.01","Census Tract 1504.01","G5020","S",738023,0,"+41.9645676","-087.7722648",3550.177734,738023.810211,5228,63.8,1944,153551,0.002634,20.8,"60630",92,78.6,9,90.3,10.6,5,0,16.7,"70.9","2.3","1.3","4.6","0.0",0,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,73.5294117647059
"50","15",187,"G1700310151001","17","031","151001","17031151001","1510.01","Census Tract 1510.01","G5020","S",330135,0,"+41.9423826","-087.7543527",2441.191805,330132.620717,2714,58.1,915,62234,0.002772,18.9,"60641",181.75,103.8,9.6,95.1,10.7,4.4,1,18.9,"58.0","2.4","0.0","4.8","0.0",1,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,64.7058823529412
"51","15",183,"G1700310150502","17","031","150502","17031150502","1505.02","Census Tract 1505.02","G5020","S",684583,0,"+41.9567784","-087.7818414",3447.050103,684581.19979,4378,73.1,2182,157040,0.003187,22.9,"60634",132.5,82.1,9,86.8,10.7,5.3,5,19.1,"72.2","1.9","0.6","5.5","0.0",5,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,77.9411764705882
"52","15",184,"G1700310150600","17","031","150600","17031150600","1506","Census Tract 1506","G5020","S",656191,0,"+41.9494731","-087.7717578",3240.511317,656191.459019,4246,52.1,2253,178725,0.003433,27.2,"60634",132.5,82.1,9.5,91.2,10.5,5,1,12.7,"69.8","1.9","2.2","8.8","0.0",0,0,1,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,73.5294117647059
"53","15",188,"G1700310151002","17","031","151002","17031151002","1510.02","Census Tract 1510.02","G5020","S",637151,0,"+41.9424917","-087.7471554",3341.012326,637150.745889,4770,78.2,1559,100347,0.002447,15.7,"60641",181.75,103.8,9.1,94.7,10.7,5.3,1,24.5,"58.6","1.8","0.0","1.2","0.2",1,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,77.9411764705882
"54","15",186,"G1700310150800","17","031","150800","17031150800","1508","Census Tract 1508","G5020","S",661051,0,"+41.9497086","-087.7521182",3255.103079,661045.570394,4967,54,1813,124213,0.002743,18.8,"60641",181.75,103.8,9.3,92.4,10.5,5.2,3,21.7,"62.3","1.9","2.1","1.8","0.0",3,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,76.4705882352941
"55","15",702,"G1700310831700","17","031","831700","17031831700","8317","Census Tract 8317","G5020","S",532281,0,"+41.9526506","-087.7452551",4346.264352,532280.71413,2500,69.6,1444,80130,0.002713,15.1,"60630",92,78.6,9,90.3,10.5,5.7,2,29.9,"65.1","0.9","0.2","9.0","0.0",2,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,83.8235294117647
"56","15",190,"G1700310151200","17","031","151200","17031151200","1512","Census Tract 1512","G5020","S",655584,0,"+41.9421690","-087.7714953",3239.335679,655585.537707,3474,42.6,1515,87582,0.002311,13.4,"60634",132.5,82.1,9.7,93,10.8,4.7,0,16.9,"70.3","0.8","2.3","6.3","0.0",0,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,69.1176470588235
"57","15",178,"G1700310150200","17","031","150200","17031150200","1502","Census Tract 1502","G5020","S",1326770,0,"+41.9606747","-087.7524131",5106.342707,1326772.58507,7747,55.5,4144,308568,0.003123,23.3,"60630",92,78.6,8.9,86.6,10.3,6.2,9,25.2,"72.2","0.5","0.9","7.4","0.0",8,0,1,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,91.1764705882353
"58","15",182,"G1700310150501","17","031","150501","17031150501","1505.01","Census Tract 1505.01","G5020","S",698792,0,"+41.9644762","-087.7819639",3374.921913,698791.546978,3957,47.9,2112,166851,0.003022,23.9,"60630",92,78.6,9,86.8,10.3,4.8,0,18.5,"74.5","3.9","0.3","7.6","0.0",0,0,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,70.5882352941177
"59","15",179,"G1700310150300","17","031","150300","17031150300","1503","Census Tract 1503","G5020","S",1326522,0,"+41.9605179","-087.7622859",5072.870981,1326521.93266,7859,47.5,4286,323881,0.003231,24.4,"60630",92,78.6,9,90,10.4,5.3,3,17,"74.4","2.4","0.0","4.2","0.0",2,1,0,"PORTAGE PARK","Portage Park",15,24,9.7,26.9,67.09911316,480.3288371,27.7,77.9411764705882
"60","16",194,"G1700310160400","17","031","160400","17031160400","1604","Census Tract 1604","G5020","S",657337,0,"+41.9573657","-087.7228239",3242.614788,657337.357178,4693,58.8,2583,193951,0.003929,29.5,"60618",172.25,82.6,8.9,76.3,10.4,4.9,0,21.4,"71.5","4.5","0.0","6.5","0.0",0,0,0,"IRVING PARK","Irving Park",16,26,10.7,29.9,56.37857777,454.3016727,29.4,72.0588235294118
"61","16",198,"G1700310160602","17","031","160602","17031160602","1606.02","Census Tract 1606.02","G5020","S",570721,16735,"+41.9566814","-087.7004635",3858.883669,587459.400456,3681,23.4,2316,169302,0.004058,29.7,"60618",172.25,82.6,8.8,68.1,10.5,4,0,18.5,"65.0","4.3","0.0","9.7","0.0",0,0,0,"IRVING PARK","Irving Park",16,26,10.7,29.9,56.37857777,454.3016727,29.4,58.8235294117647
"62","16",192,"G1700310160200","17","031","160200","17031160200","1602","Census Tract 1602","G5020","S",957173,0,"+41.9587937","-087.7384000",5072.381874,957172.456253,3002,28.2,2913,204270,0.003043,21.3,"60630",92,78.6,8.9,81.7,10.5,6.5,0,11.6,"78.6","3.7","0.4","11.8","0.0",0,0,0,"IRVING PARK","Irving Park",16,26,10.7,29.9,56.37857777,454.3016727,29.4,95.5882352941177
"63","16",204,"G1700310161200","17","031","161200","17031161200","1612","Census Tract 1612","G5020","S",517850,0,"+41.9425489","-087.7385701",2962.515939,517850.138818,3090,48.9,1506,98991,0.002908,19.1,"60641",181.75,103.8,9,93,10.6,4.3,0,25.3,"79.0","0.8","0.2","4.5","0.0",0,0,0,"IRVING PARK","Irving Park",16,26,10.7,29.9,56.37857777,454.3016727,29.4,63.2352941176471
